iter	Passed	Remaining
0	60	59945
1	60	30301
2	64	21320
3	64	16123
4	65	13023
5	66	10964
6	66	9464
7	67	8360
8	68	7501
9	68	6794
10	69	6243
11	69	5762
12	70	5365
13	71	5023
14	71	4726
15	72	4468
16	73	4245
17	74	4042
18	74	3854
19	75	3684
20	75	3532
21	76	3413
22	77	3296
23	78	3185
24	78	3072
25	81	3036
26	82	2966
27	83	2883
28	83	2797
29	84	2728
30	85	2659
31	85	2593
32	86	2532
33	87	2477
34	87	2423
35	88	2372
36	89	2318
37	89	2267
38	90	2218
39	90	2173
40	91	2138
41	92	2101
42	92	2062
43	93	2024
44	93	1986
45	94	1953
46	94	1918
47	95	1885
48	95	1854
49	95	1823
50	96	1795
51	96	1767
52	97	1741
53	98	1718
54	98	1693
55	99	1670
56	99	1648
57	100	1625
58	100	1602
59	100	1581
60	101	1561
61	101	1541
62	102	1521
63	102	1502
64	103	1483
65	103	1466
66	104	1448
67	104	1431
68	104	1414
69	105	1398
70	105	1383
71	106	1368
72	106	1353
73	107	1339
74	107	1325
75	107	1311
76	108	1298
77	108	1285
78	109	1272
79	109	1259
80	109	1247
81	110	1235
82	110	1221
83	111	1210
84	111	1200
85	112	1190
86	112	1180
87	112	1170
88	113	1161
89	114	1155
90	115	1149
91	115	1142
92	116	1136
93	117	1129
94	117	1120
95	118	1116
96	119	1110
97	119	1102
98	120	1097
99	121	1091
100	122	1086
101	122	1080
102	123	1073
103	124	1069
104	124	1064
105	125	1058
106	126	1055
107	127	1050
108	127	1045
109	128	1039
110	129	1034
111	129	1027
112	130	1022
113	130	1017
114	131	1013
115	132	1009
116	133	1003
117	133	999
118	134	995
119	135	991
120	135	986
121	136	981
122	137	977
123	137	972
124	138	969
125	139	966
126	139	961
127	140	957
128	141	954
129	142	951
130	143	948
131	143	945
132	144	941
133	145	938
134	145	935
135	146	931
136	147	927
137	148	924
138	148	919
139	149	915
140	149	911
141	149	905
142	150	901
143	151	898
144	151	893
145	152	889
146	152	885
147	153	882
148	154	879
149	154	877
150	155	874
151	156	873
152	157	869
153	158	867
154	158	866
155	159	863
156	160	860
157	161	858
158	161	855
159	162	853
160	163	850
161	163	847
162	164	845
163	165	843
164	166	840
165	166	837
166	167	835
167	168	832
168	169	831
169	169	828
170	170	825
171	170	821
172	171	819
173	172	817
174	172	815
175	174	815
176	174	812
177	176	815
178	177	812
179	177	809
180	177	805
181	178	802
182	178	798
183	179	795
184	179	791
185	180	788
186	180	785
187	180	781
188	181	778
189	181	774
190	182	771
191	182	767
192	182	764
193	183	761
194	183	758
195	184	755
196	185	754
197	185	751
198	186	749
199	187	749
200	187	746
201	188	743
202	188	740
203	188	736
204	189	734
205	189	731
206	190	729
207	190	726
208	191	723
209	191	721
210	192	718
211	192	715
212	192	712
213	193	710
214	193	708
215	194	705
216	194	703
217	195	701
218	196	699
219	196	697
220	197	694
221	197	692
222	198	690
223	198	689
224	199	687
225	200	685
226	200	683
227	201	681
228	201	679
229	202	677
230	202	675
231	203	673
232	204	671
233	204	669
234	205	667
235	205	665
236	206	665
237	207	664
238	208	662
239	208	660
240	209	658
241	209	656
242	210	654
243	210	652
244	211	650
245	211	649
246	212	647
247	212	645
248	213	643
249	213	641
250	214	640
251	215	638
252	215	637
253	216	635
254	217	634
255	217	632
256	218	631
257	218	629
258	219	627
259	220	626
260	220	624
261	221	623
262	221	621
263	222	620
264	222	618
265	223	616
266	224	615
267	224	614
268	225	612
269	225	610
270	226	609
271	227	608
272	227	606
273	228	605
274	228	603
275	229	602
276	230	600
277	230	599
278	231	597
279	231	596
280	232	594
281	233	593
282	233	592
283	234	590
284	235	589
285	235	588
286	236	587
287	236	585
288	237	584
289	238	582
290	238	581
291	239	580
292	239	578
293	240	577
294	241	576
295	241	574
296	242	573
297	242	572
298	243	571
299	244	569
300	244	568
301	245	567
302	246	566
303	246	564
304	247	563
305	247	562
306	248	561
307	249	560
308	249	558
309	250	557
310	251	556
311	251	555
312	252	553
313	253	552
314	253	551
315	254	550
316	255	549
317	255	548
318	256	547
319	257	546
320	257	544
321	258	543
322	258	542
323	259	541
324	260	540
325	260	539
326	261	537
327	261	536
328	262	535
329	262	533
330	263	532
331	263	530
332	264	529
333	265	528
334	265	527
335	266	526
336	266	525
337	267	524
338	268	522
339	268	521
340	269	520
341	269	519
342	270	517
343	270	516
344	271	515
345	272	514
346	272	512
347	273	511
348	273	510
349	274	509
350	274	508
351	275	507
352	276	505
353	276	504
354	277	503
355	277	502
356	278	500
357	278	499
358	279	498
359	279	497
360	280	495
361	280	494
362	281	493
363	281	492
364	282	491
365	283	490
366	283	489
367	284	487
368	284	486
369	285	485
370	285	484
371	286	483
372	287	482
373	287	481
374	288	480
375	288	479
376	289	477
377	289	476
378	290	475
379	290	474
380	291	473
381	291	472
382	292	471
383	293	470
384	293	469
385	294	468
386	294	467
387	295	466
388	296	465
389	296	464
390	297	463
391	297	462
392	298	460
393	299	459
394	299	458
395	300	457
396	300	456
397	301	455
398	301	454
399	302	453
400	302	452
401	303	451
402	304	450
403	304	449
404	305	448
405	305	447
406	306	446
407	307	445
408	307	444
409	308	443
410	308	442
411	309	441
412	309	440
413	310	439
414	311	438
415	311	437
416	312	436
417	312	435
418	313	434
419	313	433
420	314	432
421	314	431
422	315	430
423	315	428
424	316	428
425	316	427
426	317	426
427	318	425
428	318	424
429	319	423
430	319	422
431	320	421
432	321	421
433	322	420
